Start Date	End Date	Approving	Disapproving	Unsure/NoData	candidate
09/14/2001	09/15/2001	86	10	4	bushjr
09/07/2001	09/10/2001	51	39	10	bushjr
08/24/2001	08/26/2001	55	36	9	bushjr
08/16/2001	08/19/2001	57	34	9	bushjr
08/10/2001	08/12/2001	57	35	8	bushjr
08/03/2001	08/05/2001	55	35	10	bushjr
07/19/2001	07/22/2001	56	33	11	bushjr
07/10/2001	07/11/2001	57	35	8	bushjr
06/28/2001	07/01/2001	52	34	14	bushjr
06/11/2001	06/17/2001	55	33	12	bushjr
6/8/2001	6/10/2001	55	35	10	bushjr
5/18/2001	5/20/2001	56	36	8	bushjr
5/10/2001	5/14/2001	56	31	13	bushjr
5/7/2001	5/9/2001	53	33	14	bushjr
4/20/2001	4/22/2001	62	29	9	bushjr
4/6/2001	4/8/2001	59	30	11	bushjr
3/26/2001	3/28/2001	53	29	18	bushjr
3/9/2001	3/11/2001	58	29	13	bushjr
3/5/2001	3/7/2001	63	22	15	bushjr
2/19/2001	2/21/2001	62	21	17	bushjr
2/9/2001	2/11/2001	57	25	18	bushjr
2/1/2001	2/4/2001	57	25	18	bushjr
