observation_date,A939RX0Q048SBEA,Change
1977-10-01,30626,-0.28326767166997335
1978-01-01,30653,0.08816038659962278
1978-04-01,31757,3.6016050631259677
1978-07-01,31982,0.7085052114494506
1978-10-01,32318,1.0505909574135552
1979-01-01,32294,-0.07426202116467273
1979-04-01,32244,-0.1548275221403328
1979-07-01,32386,0.44039201091676805
1979-10-01,32366,-0.06175507935527458
1980-01-01,32377,0.03398628190076636
1980-04-01,31621,-2.3349908885937576
1980-07-01,31489,-0.4174441036020382
1980-10-01,31990,1.5910317888786496
1981-01-01,32550,1.7505470459518557
1981-04-01,32236,-0.9646697388632886
1981-07-01,32533,0.921330189849856
1981-10-01,32095,-1.346325269726123
1982-01-01,31529,-1.7635145661317964
1982-04-01,31603,0.23470455770877585
1982-07-01,31402,-0.6360155681422675
1982-10-01,31337,-0.20699318514744158
1983-01-01,31686,1.1136994607014117
1983-04-01,32340,2.0640030297292222
1983-07-01,32906,1.7501546072974605
1983-10-01,33513,1.8446483923904466
1984-01-01,34103,1.7605108465371666
1984-04-01,34622,1.5218602468991094
1984-07-01,34871,0.7191958870082615
1984-10-01,35072,0.5764101975853864
1985-01-01,35346,0.78125
1985-04-01,35582,0.6676851694675578
1985-07-01,36033,1.2674948007419529
1985-10-01,36210,0.49121638498044184
1986-01-01,36476,0.7346037006351835
1986-04-01,36563,0.2385129948459186
1986-07-01,36822,0.7083663813144403
1986-10-01,36931,0.2960186844821022
1987-01-01,37132,0.5442582112588301
1987-04-01,37454,0.867176559301952
1987-07-01,37685,0.6167565547070986
1987-10-01,38238,1.467427358365403
1988-01-01,38359,0.3164391443067016
1988-04-01,38782,1.1027399045856257
1988-07-01,38908,0.32489299159403906
1988-10-01,39328,1.0794695178369507
1989-01-01,39648,0.8136696501220397
1989-04-01,39861,0.5372276029055767
1989-07-01,40046,0.4641127919520427
1989-10-01,40015,-0.07741097737601343
1990-01-01,40361,0.8646757465950339
1990-04-01,40382,0.05203042541066516
1990-07-01,40266,-0.2872566985290481
1990-10-01,39759,-1.2591268067352113
1991-01-01,39451,-0.7746673709097318
1991-04-01,39632,0.4587969886694854
1991-07-01,39691,0.14886960032296503
1991-10-01,39694,0.007558388551553996
1992-01-01,40051,0.8993802589811972
1992-04-01,40350,0.7465481511073291
1992-07-01,40599,0.6171003717472034
1992-10-01,40881,0.6945983891228913
1993-01-01,40829,-0.12719845404955965
1993-04-01,40942,0.27676406475789506
1993-07-01,40997,0.13433637829123324
1993-10-01,41423,1.0391004219820976
1994-01-01,41713,0.7000941505926672
1994-04-01,42154,1.057224366504439
1994-07-01,42264,0.2609479527446945
1994-10-01,42618,0.8375922771152844
1995-01-01,42654,0.0844713501337413
1995-04-01,42660,0.014066676044444115
1995-07-01,42885,0.527426160337563
1995-10-01,43044,0.3707590066456712
1996-01-01,43259,0.4994888950841103
1996-04-01,43856,1.380059640768394
1996-07-01,44105,0.567767238234218
1996-10-01,44421,0.7164720553225257
1997-01-01,44590,0.3804506877377767
1997-04-01,45203,1.3747477012783227
1997-07-01,45616,0.9136561732628445
1997-10-01,45862,0.5392844615924153
1998-01-01,46204,0.7457154070908301
1998-04-01,46504,0.6492944333823969
1998-07-01,46943,0.9440048167899562
1998-10-01,47555,1.303708753168742
1999-01-01,47880,0.6834191988224214
1999-04-01,48148,0.5597326649958267
1999-07-01,48632,1.005233862258037
1999-10-01,49281,1.3345122553051425
2000-01-01,49335,0.10957569854508353
2000-04-01,50109,1.5688659166920083
2000-07-01,50024,-0.169630206150595
2000-10-01,50190,0.331840716456111
2001-01-01,49911,-0.5558876270173374
2001-04-01,50105,0.38869187153132145
2001-07-01,49774,-0.6606127133020667
2001-10-01,49783,0.01808172941697439
2002-01-01,50091,0.6186850933049381
2002-04-01,50286,0.38929148948914083
2002-07-01,50362,0.15113550491190342
2002-10-01,50302,-0.1191374448989313
2003-01-01,50462,0.3180788040237026
2003-04-01,50796,0.661884190083617
2003-07-01,51512,1.4095598078588845
2003-10-01,51986,0.9201739400527931
2004-01-01,52179,0.37125379909974665
2004-04-01,52469,0.5557791448667082
2004-07-01,52835,0.6975547466122833
2004-10-01,53242,0.7703227027538562
2005-01-01,53719,0.8959092445813388
2005-04-01,53868,0.27736927344141904
2005-07-01,54153,0.5290710625974526
2005-10-01,54317,0.3028456410540503
2006-01-01,54927,1.1230369865787848
