Start Date	End Date	Approving	Disapproving	Unsure/NoData	candidate
11/19/1982	11/22/1982	43	47	10	reagan
11/05/1982	11/08/1982	43	47	10	reagan
10/15/1982	10/18/1982	42	48	10	reagan
09/17/1982	09/20/1982	42	48	10	reagan
08/27/1982	08/30/1982	42	46	12	reagan
08/13/1982	08/16/1982	41	49	10	reagan
07/30/1982	08/02/1982	41	47	12	reagan
07/23/1982	07/26/1982	42	46	12	reagan
06/25/1982	06/28/1982	44	46	10	reagan
06/11/1982	06/14/1982	45	45	10	reagan
05/14/1982	05/17/1982	45	44	11	reagan
04/30/1982	05/03/1982	44	46	10	reagan
04/23/1982	04/26/1982	43	47	10	reagan
04/02/1982	04/05/1982	45	46	9	reagan
3/12/1982	3/15/1982	46	45	9	reagan
2/5/1982	2/8/1982	47	43	10	reagan
01/22/1982	01/25/1982	47	42	11	reagan
1/8/1982	1/11/1982	49	40	11	reagan
12/11/1981	12/14/1981	49	41	10	reagan
11/20/1981	11/23/1981	54	37	9	reagan
11/13/1981	11/16/1981	49	40	11	reagan
10/30/1981	11/02/1981	53	35	12	reagan
10/02/1981	10/05/1981	56	35	9	reagan
09/18/1981	09/21/1981	52	37	11	reagan
08/14/1981	08/17/1981	60	29	11	reagan
07/31/1981	08/03/1981	60	28	12	reagan
07/24/1981	07/27/1981	56	30	14	reagan
07/17/1981	07/20/1981	60	29	11	reagan
06/26/1981	06/29/1981	58	30	12	reagan
06/19/1981	06/22/1981	59	29	12	reagan
06/05/1981	06/08/1981	59	28	13	reagan
05/08/1981	05/11/1981	68	21	11	reagan
04/10/1981	04/13/1981	67	19	14	reagan
4/3/1981	4/6/1981	67	18	15	reagan
3/13/1981	3/16/1981	60	24	16	reagan
2/13/1981	2/16/1981	55	18	27	reagan
1/30/1981	02/02/1981	51	13	36	reagan
